ID, Category
1869, Others
1871, Others
1873, Exploration
1875, Others
1877, Card Game
1878, Exploration
1879, Card Game
1881, Others
1883, Others
1884, Others
1887, Card Game
1890, Others
1891, Card Game
1894, Others
1896, Others
1897, Exploration
1898, Card Game
1899, Others
1901, Card Game
1902, Card Game
1907, Others
1908, Others
1909, Others
1910, Puzzle
1912, Card Game
1913, Others
1915, Exploration
1916, Others
1917, Others
1919, Others
1920, Others
1923, Others
1924, Others
1925, Others
1927, Card Game
1931, Others
1932, Others
1933, Others
1934, Card Game
1935, Card Game
1936, Card Game
1937, Card Game
1938, Card Game
1939, Card Game
1940, Others
1941, Others
1942, Card Game
1943, Others
1945, Others
1946, Others
1947, Others
1950, Others
1952, Others
1953, Card Game
1954, Exploration
1956, Others
1958, Others
1959, Puzzle
1960, Word Game
1961, Card Game
1962, Word Game
1963, Others
1964, Others
1965, Exploration
1969, Educational
1970, Others
1972, Educational
1973, Word Game
1974, Card Game
1975, Card Game
1977, Card Game
1981, Card Game
1982, Card Game
1983, Others
1984, Others
1985, Puzzle
1986, Others
1987, Others
1989, Others
1991, Others
1992, Electronic
1993, Others
1994, Others
1996, Others
1997, Others
1998, Others
2000, Others
2001, Others
2002, Others
2003, Others
2004, Others
2011, Others
2012, Others
2014, Others
2016, Others
2025, Others
2026, Card Game
2030, Others
2031, Card Game
2033, Others
2036, Others
2037, Card Game
2038, Others
2040, Others
2043, Others
2044, Card Game
2047, Card Game
2049, Card Game
2051, Card Game
2060, Card Game
2061, Others
2063, Card Game
2065, Others
2066, Exploration
2068, Card Game
2072, Others
2073, Others
2074, Others
2075, Others
2076, Others
2077, Others
2078, Others
2079, Others
2080, Others
2081, Others
2082, Others
2083, Others
2086, Card Game
2087, Others
2088, Others
2089, Others
2090, Others
2091, Miniatures
2092, Others
2093, Others
2094, Others
2095, Others
2096, Others
2097, Others
2098, Card Game
2099, Card Game
2100, Others
2101, Others
2102, Others
2103, Others
2104, Others
2105, Others
2106, Others
2110, Card Game
2111, Card Game
2114, Card Game
2115, Card Game
2116, Card Game
2119, Others
2120, Card Game
2121, Others
2122, Card Game
2123, Card Game
2125, Others
2127, Card Game
2128, Card Game
2129, Others
2130, Card Game
2131, Exploration
2132, Card Game
2133, Card Game
2134, Card Game
2135, Card Game
2136, Others
2137, Card Game
2138, Others
2139, Card Game
2140, Exploration
2143, Card Game
2144, Others
2146, Card Game
2147, Others
2148, Print & Play
2149, Card Game
2150, Others
2151, Others
2153, Print & Play
2154, Others
2156, Others
2157, Others
2159, Others
2160, Others
2161, Exploration
2162, Miniatures
2163, Miniatures
2164, Puzzle
2165, Card Game
2166, Card Game
2168, Others
2169, Exploration
2171, Others
2172, Others
2173, Others
2174, Card Game
2175, Card Game
2176, Card Game
2178, Card Game
2179, Card Game
2180, Card Game
2181, Card Game
2186, Others
2189, Others
2190, Card Game
2192, Others
2193, Others
2194, Others
2195, Others
2196, Others
2197, Others
2198, Others
2199, Others
2200, Others
2201, Card Game
2203, Card Game
2205, Others
2206, Others
2207, Others
2209, Others
2210, Others
2211, Others
2212, Card Game
2213, Others
2214, Others
2215, Others
2216, Exploration
2217, Exploration
2223, Card Game
2224, Others
2225, Word Game
2226, Others
2228, Others
2229, Others
2230, Others
2232, Others
2234, Card Game
2235, Others
2236, Others
2238, Others
2240, Card Game
2242, Card Game
2243, Others
2247, Card Game
2248, Others
2249, Others
2250, Others
2251, Others
2252, Exploration
2253, Card Game
2254, Others
2256, Others
2258, Others
2259, Others
2260, Others
2262, Others
2263, Others
2264, Word Game
2265, Others
2266, Others
2268, Exploration
2271, Others
2272, Others
2275, Card Game
2277, Card Game
2280, Exploration
2281, Others
2283, Others
2284, Print & Play
2285, Miniatures
2287, Others
2288, Others
2290, Others
2294, Card Game
2295, Card Game
2296, Others
2297, Others
2298, Others
2299, Others
2300, Others
2301, Exploration
2303, Others
2304, Others
2306, Others
2307, Others
2308, Puzzle
2310, Card Game
2311, Exploration
2312, Others
2314, Others
2315, Others
2316, Others
2317, Card Game
2318, Word Game
2319, Others
2320, Others
2322, Others
2324, Others
2326, Exploration
2331, Educational
2334, Others
2335, Others
2336, Exploration
2337, Others
2338, Exploration
2339, Card Game
2341, Others
2342, Exploration
2343, Exploration
2344, Territory Building
2346, Others
2348, Others
2349, Others
2350, Exploration
2352, Others
2353, Others
2354, Card Game
2356, Word Game
2357, Others
2361, Card Game
2362, Miniatures
2363, Others
2364, Card Game
2366, Others
2367, Others
2368, Others
2369, Card Game
2370, Card Game
2371, Others
2372, Card Game
2373, Others
2375, Card Game
2376, Others
2378, Others
2379, Card Game
2380, Card Game
2381, Word Game
2383, Others
2384, Exploration
2385, Others
2386, Others
2387, Word Game
2388, Exploration
2389, Others
2390, Others
2391, Others
2392, Others
2393, Others
2394, Others
2395, Others
2396, Others
2397, Others
2398, Card Game
2399, Others
2400, Others
2401, Others
2402, Exploration
2403, Card Game
2404, Others
2405, Card Game
2406, Others
2407, Others
2408, Others
2409, Others
2410, Others
2412, Card Game
2415, Territory Building
2417, Card Game
2418, Card Game
2421, Word Game
2422, Others
2425, Others
2426, Others
2427, Others
2428, Others
2429, Others
2430, Word Game
2431, Others
2433, Card Game
2435, Others
2436, Others
2440, Print & Play
2442, Print & Play
2443, Others
2444, Miniatures
2446, Miniatures
2447, Others
2448, Others
2450, Card Game
2452, Others
2453, Territory Building
2455, Others
2456, Others
2457, Miniatures
2458, Card Game
2463, Card Game
2464, Others
2470, Others
2471, Exploration
2472, Card Game
2473, Others
2474, Others
2476, Others
2478, Card Game
2480, Others
2482, Others
2483, Others
2484, Educational
2485, Educational
2487, Others
2489, Puzzle
2492, Others
2493, Others
2494, Others
2495, Word Game
2496, Card Game
2497, Card Game
2499, Others
2502, Others
2503, Others
2507, Others
2510, Others
2511, Others
2513, Exploration
2515, Exploration
2516, Miniatures
2517, Others
2518, Exploration
2520, Others
2521, Others
2524, Others
2527, Others
2529, Others
2531, Others
2532, Others
2533, Card Game
2535, Others
2536, Others
2537, Card Game
2538, Exploration
2539, Others
2540, Others
2541, Others
2542, Card Game
2543, Card Game
2545, Others
2546, Others
2547, Others
2549, Others
2550, Card Game
2553, Card Game
2554, Others
2555, Card Game
2557, Territory Building
2558, Card Game
2559, Others
2562, Others
2563, Card Game
2566, Card Game
2567, Card Game
2569, Card Game
2570, Card Game
2572, Others
2573, Others
2574, Others
2577, Others
2578, Others
2579, Others
2580, Others
2581, Others
2582, Word Game
2583, Print & Play
2584, Electronic
2586, Others
2589, Card Game
2593, Others
2596, Others
2597, Miniatures
2598, Others
2599, Others
2600, Print & Play
2602, Card Game
2603, Card Game
2604, Card Game
2605, Others
2606, Others
2607, Others
2608, Others
2609, Others
2610, Card Game
2611, Others
2612, Print & Play
2613, Others
2616, Card Game
2625, Others
2626, Others
2627, Others
2629, Exploration
2630, Card Game
2633, Card Game
2634, Others
2635, Others
2637, Others
2638, Others
2639, Others
2640, Card Game
2641, Others
2643, Others
2645, Others
2649, Others
2650, Others
2651, Others
2652, Word Game
2653, Others
2655, Others
2656, Miniatures
2657, Card Game
2664, Others
2665, Others
2666, Others
2667, Others
2668, Word Game
2669, Card Game
2672, Card Game
2674, Card Game
2676, Others
2678, Exploration
2679, Others
2680, Others
2681, Word Game
2688, Others
2689, Others
2690, Others
2693, Others
2697, Others
2698, Card Game
2699, Others
2701, Card Game
2705, Card Game
2706, Others
2707, Card Game
2709, Others
2710, Others
2713, Others
2716, Card Game
2717, Others
2718, Others
2719, Others
2720, Others
2721, Others
2724, Others
2725, Others
2728, Electronic
2730, Others
2731, Others
2733, Card Game
2734, Others
2736, Others
2738, Card Game
2740, Others
2742, Others
2743, Exploration
2746, Others
2748, Others
2749, Others
2750, Others
2751, Others
2753, Others
2756, Others
2757, Others
2758, Card Game
2759, Others
2760, Exploration
2762, Card Game
2763, Others
2764, Card Game
2765, Card Game
2766, Others
2767, Others
2770, Others
2771, Others
2773, Exploration
2775, Others
2776, Card Game
2777, Others
2778, Others
2779, Others
2780, Card Game
2781, Card Game
2782, Card Game
2783, Others
2784, Others
2785, Educational
2788, Others
2791, Others
2792, Others
2793, Others
2794, Others
2795, Miniatures
2799, Others
2800, Others
2802, Others
2806, Others
2808, Others
2809, Card Game
2811, Educational
2812, Others
2814, Others
2816, Others
2817, Others
2818, Card Game
2819, Others
2821, Others
2823, Others
2824, Print & Play
2826, Others
2832, Others
2833, Card Game
2836, Others
2838, Others
2839, Others
2840, Others
2841, Card Game
2842, Others
2843, Card Game
2844, Territory Building
2845, Others
2853, Others
2854, Exploration
2855, Others
2856, Card Game
2857, Others
2858, Others
2860, Others
2863, Others
2864, Others
2866, Others
2867, Others
2868, Puzzle
2871, Others
2872, Others
2875, Others
2876, Exploration
2878, Puzzle
2879, Others
2881, Others
2883, Others
2884, Others
2885, Others
2887, Others
2888, Others
2889, Card Game
2891, Others
2895, Card Game
2897, Others
2901, Card Game
2902, Miniatures
2903, Others
2904, Others
2907, Others
2910, Card Game
2911, Territory Building
2916, Others
2917, Others
2918, Card Game
2919, Exploration
2920, Others
2921, Electronic
2922, Others
2923, Others
2925, Others
2927, Card Game
2929, Others
2932, Others
2933, Others
2935, Educational
2936, Others
2937, Others
2938, Others
2940, Others
2941, Card Game
2942, Others
2943, Others
2944, Card Game
2946, Others
2947, Others
2952, Others
2955, Territory Building
2956, Word Game
2957, Others
2958, Others
2960, Card Game
2961, Others
2962, Puzzle
2963, Others
2965, Others
2968, Card Game
2970, Others
2971, Others
2972, Card Game
2974, Others
2975, Others
2978, Others
2979, Exploration
2980, Others
2981, Others
2986, Others
2987, Others
2988, Others
2989, Card Game
2990, Others
2991, Others
2994, Others
2995, Others
2996, Others
2997, Others
2998, Others
3000, Others
3001, Card Game
3003, Others
3004, Others
3005, Others
3007, Others
3008, Others
3015, Others
3016, Others
3018, Others
3020, Others
3021, Others
3022, Electronic
3023, Others
3024, Others
3028, Educational
3030, Others
3034, Others
3035, Others
3036, Others
3037, Others
3039, Others
3040, Others
3041, Others
3042, Others
3044, Others
3045, Others
3046, Others
3047, Others
3048, Others
3049, Others
3050, Others
3051, Others
3052, Card Game
3053, Others
3054, Others
3057, Others
3059, Others
3061, Others
3062, Others
3063, Others
3064, Card Game
3065, Electronic
3067, Card Game
3068, Card Game
3070, Others
3071, Others
3072, Miniatures
3074, Others
3075, Card Game
3076, Others
3077, Others
3078, Others
3080, Word Game
3081, Others
3083, Others
3084, Others
3085, Card Game
3086, Exploration
3089, Others
3090, Exploration
3091, Others
3093, Others
3095, Others
3096, Card Game
3097, Others
3099, Others
3100, Exploration
3102, Others
3107, Card Game
3108, Print & Play
3109, Miniatures
3110, Others
3112, Others
3114, Others
3119, Word Game
